podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
100,0.2,4,4,0.2,1.0,1.0,4,4347,1.378,1724,0.711,3624,1.149
100,0.2,4,4,0.2,1.0,1.0,8,8440,1.583,8148,1.461,6825,1.280
100,0.2,4,4,0.2,1.0,1.0,16,16709,1.424,16004,1.469,13000,1.145
100,0.2,4,4,0.2,1.0,2.0,2,2446,1.809,2685,1.916,2188,1.386
100,0.2,4,4,0.2,1.0,2.0,4,4786,1.517,5035,1.676,3854,1.222
100,0.2,4,4,0.2,1.0,2.0,8,9053,1.609,9255,1.735,7412,1.390
100,0.2,4,4,0.2,1.0,2.0,16,20181,1.961,17985,1.533,13685,1.160
100,0.2,4,4,0.2,1.0,5.0,2,3173,2.347,3301,2.441,2464,1.744
100,0.2,4,4,0.2,1.0,5.0,4,6354,2.015,6642,2.106,4858,1.540
100,0.2,4,4,0.2,1.0,5.0,8,10297,2.015,13401,2.513,9264,1.737
100,0.2,4,4,0.2,1.0,5.0,16,24951,2.127,23937,2.064,17275,1.473
100,0.2,4,4,0.2,2.0,0.2,2,3168,2.602,3918,3.572,2351,1.931
100,0.2,4,4,0.2,2.0,0.2,4,5838,2.409,6883,2.423,3148,1.528
100,0.2,4,4,0.2,2.0,0.2,8,11640,2.424,12769,2.659,8876,1.848
100,0.2,4,4,0.2,2.0,0.2,16,22958,2.184,25355,2.400,17613,1.642
100,0.2,4,4,0.2,2.0,0.5,2,3248,2.668,3696,3.035,2439,2.003
100,0.2,4,4,0.2,2.0,0.5,4,6284,2.695,7058,2.485,4818,1.697
100,0.2,4,4,0.2,2.0,0.5,8,11745,2.342,13021,2.712,9283,1.933
100,0.2,4,4,0.2,2.0,0.5,16,22956,2.309,25558,2.419,17897,1.710
100,0.2,4,4,0.2,2.0,1.0,2,3383,2.778,3818,3.136,2591,2.128
100,0.2,4,4,0.2,2.0,1.0,4,6599,2.324,7602,2.883,5162,1.818
100,0.2,4,4,0.2,2.0,1.0,8,12691,2.643,13547,2.630,9969,2.076
100,0.2,4,4,0.2,2.0,1.0,16,24799,2.372,26948,2.551,19044,1.840
100,0.2,4,4,0.2,2.0,2.0,2,3817,3.207,4022,3.304,2944,2.418
100,0.2,4,4,0.2,2.0,2.0,4,7168,2.524,8048,2.834,5456,2.046
100,0.2,4,4,0.2,2.0,2.0,8,14006,2.917,14751,3.072,10925,2.275
100,0.2,4,4,0.2,2.0,2.0,16,27127,2.628,29581,2.800,21591,2.066
100,0.2,4,4,0.2,2.0,5.0,2,4554,3.740,5098,4.357,3723,3.058
100,0.2,4,4,0.2,2.0,5.0,4,8976,3.161,8175,3.497,6863,2.401
100,0.2,4,4,0.2,2.0,5.0,8,17740,3.694,18015,3.751,13157,2.820
100,0.2,4,4,0.2,2.0,5.0,16,33845,3.204,37124,3.514,26699,2.558
100,0.2,4,4,0.5,0.1,0.2,2,2273,1.539,2285,1.321,1857,1.237
100,0.2,4,4,0.5,0.1,0.2,4,2268,0.692,4368,1.247,3607,1.295
100,0.2,4,4,0.5,0.1,0.2,8,8221,1.320,8612,1.454,6968,1.101
100,0.2,4,4,0.5,0.1,0.2,16,16797,1.289,16760,1.305,14591,1.238
100,0.2,4,4,0.5,0.1,0.5,2,2509,1.671,2501,1.666,1955,1.218
100,0.2,4,4,0.5,0.1,0.5,4,4560,1.302,4784,1.366,3992,1.237
100,0.2,4,4,0.5,0.1,0.5,8,9161,1.547,9626,1.625,7423,1.253
100,0.2,4,4,0.5,0.1,0.5,16,18173,1.499,18260,1.491,14800,1.182
100,0.2,4,4,0.5,0.1,1.0,2,2674,1.781,2750,1.513,2082,1.328
100,0.2,4,4,0.5,0.1,1.0,4,5262,1.502,5473,1.744,4123,1.258
100,0.2,4,4,0.5,0.1,1.0,8,10324,1.743,10610,1.712,8157,1.377
100,0.2,4,4,0.5,0.1,1.0,16,20341,1.607,20602,1.723,16141,1.239
100,0.2,4,4,0.5,0.1,2.0,2,3397,2.407,3400,2.325,2496,1.663
