podCount,alpha,density,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
100,0.5,0.4,4,4,1.0,1.0,492741,0.457,507811,0.457,501166,0.457
100,0.5,0.4,4,4,1.0,1.0,380128,0.800,379565,0.800,386212,0.800
100,0.5,0.4,4,4,1.0,1.0,349369,0.533,388220,0.533,352940,0.533
100,0.5,0.4,4,4,1.0,1.0,257137,0.781,272971,0.773,237358,0.742
100,0.5,0.4,4,4,1.0,1.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,1.0,1.0,501734,0.457,544401,0.457,501733,0.457
100,0.5,0.4,4,4,1.0,2.0,465845,0.800,483325,0.800,418103,0.800
100,0.5,0.4,4,4,1.0,2.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,1.0,2.0,474975,0.800,509022,0.800,512741,0.800
100,0.5,0.4,4,4,1.0,2.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,1.0,2.0,403811,0.457,435392,0.457,411674,0.457
100,0.5,0.4,4,4,1.0,2.0,294710,0.800,296298,0.800,296337,0.800
100,0.5,0.4,4,4,1.0,2.0,286700,0.533,295164,0.533,264864,0.533
100,0.5,0.4,4,4,1.0,2.0,215837,0.778,236568,0.770,186590,0.769
100,0.5,0.4,4,4,1.0,2.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,1.0,2.0,433775,0.457,470429,0.457,422077,0.457
100,0.5,0.4,4,4,5.0,0.1,640435,0.800,657935,0.800,614748,0.800
100,0.5,0.4,4,4,5.0,0.1,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,5.0,0.1,669304,0.800,701941,0.800,664736,0.800
100,0.5,0.4,4,4,5.0,0.1,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,5.0,0.1,602987,0.457,648308,0.457,625956,0.457
100,0.5,0.4,4,4,5.0,0.1,500106,0.800,450399,0.800,501377,0.533
100,0.5,0.4,4,4,5.0,0.1,459851,0.533,482477,0.533,418921,0.533
100,0.5,0.4,4,4,5.0,0.1,315600,0.758,335131,0.771,307374,0.740
100,0.5,0.4,4,4,5.0,0.1,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,5.0,0.1,628403,0.457,648995,0.457,626227,0.457
100,0.5,0.4,4,4,5.0,0.5,586923,0.800,610139,0.800,564344,0.800
100,0.5,0.4,4,4,5.0,0.5,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,5.0,0.5,624847,0.800,659634,0.800,591222,0.800
100,0.5,0.4,4,4,5.0,0.5,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,5.0,0.5,543141,0.457,558261,0.457,532440,0.457
100,0.5,0.4,4,4,5.0,0.5,438193,0.800,450431,0.800,432261,0.800
100,0.5,0.4,4,4,5.0,0.5,434615,0.533,445984,0.533,406783,0.533
100,0.5,0.4,4,4,5.0,0.5,297554,0.782,303671,0.765,276145,0.736
100,0.5,0.4,4,4,5.0,0.5,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,5.0,0.5,542466,0.457,580281,0.457,552433,0.457
100,0.5,0.4,4,4,5.0,1.0,504737,0.533,551038,0.800,519493,0.800
100,0.5,0.4,4,4,5.0,1.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,5.0,1.0,0,0.000,602375,0.800,533957,0.800
100,0.5,0.4,4,4,5.0,1.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,5.0,1.0,492741,0.457,507811,0.457,452023,0.457
100,0.5,0.4,4,4,5.0,1.0,371788,0.800,379565,0.800,378409,0.800
100,0.5,0.4,4,4,5.0,1.0,378146,0.533,381988,0.533,345090,0.533
100,0.5,0.4,4,4,5.0,1.0,254667,0.764,272971,0.773,229597,0.775
100,0.5,0.4,4,4,5.0,1.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,5.0,1.0,503713,0.457,537428,0.457,495299,0.457
100,0.5,0.4,4,4,5.0,2.0,0,0.000,517249,0.800,416618,0.800
100,0.5,0.4,4,4,5.0,2.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,5.0,2.0,410529,0.800,475499,0.800,425974,0.800
100,0.5,0.4,4,4,5.0,2.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,5.0,2.0,420184,0.457,422883,0.457,365868,0.457
100,0.5,0.4,4,4,5.0,2.0,293324,0.800,298351,0.800,304558,0.800
100,0.5,0.4,4,4,5.0,2.0,286700,0.533,297962,0.533,265060,0.533
100,0.5,0.4,4,4,5.0,2.0,215837,0.778,240730,0.761,181358,0.785
100,0.5,0.4,4,4,5.0,2.0,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,5.0,2.0,443869,0.457,471871,0.457,397691,0.457
100,0.5,0.4,4,4,10.0,0.1,640435,0.800,680558,0.800,614748,0.800
100,0.5,0.4,4,4,10.0,0.1,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,10.0,0.1,669304,0.800,701941,0.800,649703,0.800
100,0.5,0.4,4,4,10.0,0.1,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,10.0,0.1,596474,0.457,626966,0.457,568299,0.457
100,0.5,0.4,4,4,10.0,0.1,498119,0.800,505514,0.800,528029,0.800
100,0.5,0.4,4,4,10.0,0.1,499699,0.533,518280,0.533,483699,0.533
100,0.5,0.4,4,4,10.0,0.1,320914,0.779,342344,0.782,263230,0.836
100,0.5,0.4,4,4,10.0,0.1,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,10.0,0.1,608549,0.457,639499,0.457,610175,0.457
100,0.5,0.4,4,4,10.0,0.5,570217,0.800,624763,0.800,584286,0.800
100,0.5,0.4,4,4,10.0,0.5,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,10.0,0.5,610905,0.800,635000,0.800,569620,0.800
100,0.5,0.4,4,4,10.0,0.5,0,0.000,0,0.000,0,0.000
100,0.5,0.4,4,4,10.0,0.5,556079,0.457,554892,0.457,535233,0.457
100,0.5,0.4,4,4,10.0,0.5,470141,0.800,442358,0.800,415464,0.800
100,0.5,0.4,4,4,10.0,0.5,430088,0.533,422744,0.533,376575,0.533
100,0.5,0.4,4,4,10.0,0.5,440103,0.457,284888,0.798,244863,0.805
100,0.5,0.4,4,4,10.0,0.5,0,0.000,0,0.000,0,0.000
