MPEFT,IPPTS,Custom
4869952.30,7566202.47,325612.15
2612821.31,1796963.46,0.00
1278682.32,820616.76,19287.01
1040513.36,640313.03,38754.73
351646.30,597028.11,33634.68
1132788.36,1903586.76,0.00
4148852.54,6391746.92,117408.76
433368.72,160271.21,20941.46
6831231.17,4312566.81,362051.51
1389839.99,552289.94,100184.45
