podCount,alpha,density,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
100,0.2,0.4,4,4,1.0,1.0,478364,0.457,499587,0.457,510499,0.457
100,0.2,0.4,4,4,1.0,1.0,340551,0.800,345174,0.800,366251,0.800
100,0.2,0.4,4,4,1.0,1.0,381116,0.533,385202,0.533,364144,0.533
100,0.2,0.4,4,4,1.0,1.0,263506,0.740,301138,0.705,242121,0.735
100,0.2,0.4,4,4,1.0,1.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,1.0,1.0,531167,0.457,489832,0.457,503905,0.457
100,0.2,0.4,4,4,1.0,2.0,493179,0.800,503440,0.800,435418,0.800
100,0.2,0.4,4,4,1.0,2.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,1.0,2.0,474105,0.800,500514,0.800,490639,0.800
100,0.2,0.4,4,4,1.0,2.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,1.0,2.0,383531,0.457,427005,0.457,409387,0.457
100,0.2,0.4,4,4,1.0,2.0,0,0.000,290315,0.800,257401,0.800
100,0.2,0.4,4,4,1.0,2.0,277967,0.533,308425,0.533,274751,0.533
100,0.2,0.4,4,4,1.0,2.0,226822,0.709,196728,0.778,186606,0.743
100,0.2,0.4,4,4,1.0,2.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,1.0,2.0,448198,0.457,475515,0.457,407865,0.457
100,0.2,0.4,4,4,5.0,0.1,715783,0.800,712148,0.800,613408,0.800
100,0.2,0.4,4,4,5.0,0.1,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,5.0,0.1,625294,0.800,644021,0.800,627232,0.800
100,0.2,0.4,4,4,5.0,0.1,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,5.0,0.1,555485,0.457,556051,0.457,551364,0.457
100,0.2,0.4,4,4,5.0,0.1,467736,0.800,487660,0.800,482297,0.800
100,0.2,0.4,4,4,5.0,0.1,517795,0.533,525345,0.533,492271,0.533
100,0.2,0.4,4,4,5.0,0.1,319218,0.752,337596,0.739,281421,0.777
100,0.2,0.4,4,4,5.0,0.1,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,5.0,0.1,542738,0.457,675108,0.457,652266,0.457
100,0.2,0.4,4,4,5.0,0.5,611578,0.800,626141,0.800,580359,0.800
100,0.2,0.4,4,4,5.0,0.5,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,5.0,0.5,557543,0.800,628501,0.800,567975,0.800
100,0.2,0.4,4,4,5.0,0.5,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,5.0,0.5,518016,0.457,560418,0.457,491642,0.457
100,0.2,0.4,4,4,5.0,0.5,397676,0.800,400254,0.800,402792,0.800
100,0.2,0.4,4,4,5.0,0.5,450253,0.533,451054,0.533,399584,0.533
100,0.2,0.4,4,4,5.0,0.5,313757,0.719,318491,0.726,265257,0.759
100,0.2,0.4,4,4,5.0,0.5,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,5.0,0.5,569663,0.457,594936,0.457,560054,0.457
100,0.2,0.4,4,4,5.0,1.0,524944,0.800,487500,0.800,525781,0.800
100,0.2,0.4,4,4,5.0,1.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,5.0,1.0,541667,0.800,571831,0.800,485105,0.800
100,0.2,0.4,4,4,5.0,1.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,5.0,1.0,478364,0.457,499587,0.457,451141,0.457
100,0.2,0.4,4,4,5.0,1.0,340551,0.800,386879,0.800,345011,0.800
100,0.2,0.4,4,4,5.0,1.0,387534,0.533,392801,0.533,358267,0.533
100,0.2,0.4,4,4,5.0,1.0,282777,0.710,301138,0.705,219615,0.776
100,0.2,0.4,4,4,5.0,1.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,5.0,1.0,529832,0.457,521516,0.457,501914,0.457
100,0.2,0.4,4,4,5.0,2.0,455625,0.800,502069,0.800,433297,0.800
100,0.2,0.4,4,4,5.0,2.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,5.0,2.0,456761,0.800,523337,0.800,422148,0.800
100,0.2,0.4,4,4,5.0,2.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,5.0,2.0,379647,0.457,420147,0.457,348089,0.457
100,0.2,0.4,4,4,5.0,2.0,284087,0.800,271673,0.800,270704,0.800
100,0.2,0.4,4,4,5.0,2.0,301667,0.533,309967,0.533,274454,0.533
100,0.2,0.4,4,4,5.0,2.0,218169,0.734,237850,0.737,186606,0.743
100,0.2,0.4,4,4,5.0,2.0,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,5.0,2.0,440857,0.457,475515,0.457,418881,0.457
100,0.2,0.4,4,4,10.0,0.1,663977,0.800,669993,0.800,639358,0.800
100,0.2,0.4,4,4,10.0,0.1,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,10.0,0.1,610684,0.800,631159,0.800,613831,0.800
100,0.2,0.4,4,4,10.0,0.1,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,10.0,0.1,598407,0.457,572215,0.457,557980,0.457
100,0.2,0.4,4,4,10.0,0.1,476626,0.800,542884,0.533,464886,0.800
100,0.2,0.4,4,4,10.0,0.1,494905,0.533,525345,0.533,474422,0.533
100,0.2,0.4,4,4,10.0,0.1,347105,0.712,350158,0.716,301676,0.767
100,0.2,0.4,4,4,10.0,0.1,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,10.0,0.1,631680,0.457,636404,0.457,624660,0.457
100,0.2,0.4,4,4,10.0,0.5,618304,0.800,651955,0.800,0,0.000
100,0.2,0.4,4,4,10.0,0.5,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,10.0,0.5,589123,0.800,635888,0.800,534910,0.800
100,0.2,0.4,4,4,10.0,0.5,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,10.0,0.5,525008,0.457,560418,0.457,497651,0.457
100,0.2,0.4,4,4,10.0,0.5,450802,0.800,400254,0.800,407996,0.800
100,0.2,0.4,4,4,10.0,0.5,450253,0.533,456127,0.533,421765,0.533
100,0.2,0.4,4,4,10.0,0.5,313757,0.719,298071,0.781,262779,0.758
100,0.2,0.4,4,4,10.0,0.5,0,0.000,0,0.000,0,0.000
100,0.2,0.4,4,4,10.0,0.5,569663,0.457,603097,0.457,552949,0.457
