podCount,alpha,density,replicaCount,nodeCount,CCR,RRC,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
1100,0.2,0.4,4,4,1.0,0.05,1.0,9318538,0.304,10467429,0.271,6847795,0.503
1100,0.2,0.4,4,4,1.0,0.05,1.0,9923499,0.229,9705604,0.234,4183966,0.527
1100,0.2,0.4,4,4,1.0,0.05,1.0,5858421,0.325,6217552,0.306,2704844,0.755
1100,0.2,0.4,4,4,1.0,0.05,2.0,9368844,0.214,9240232,0.217,3041026,0.608
1100,0.2,0.4,4,4,1.0,0.05,2.0,7729844,0.245,7984316,0.237,2408886,0.568
1100,0.2,0.4,4,4,1.0,0.05,2.0,9624839,0.293,9694601,0.291,0,0.000
1100,0.2,0.4,4,4,1.0,0.05,2.0,12397606,0.157,11875594,0.163,2424090,0.503
1100,0.2,0.4,4,4,1.0,0.05,2.0,7913052,0.328,8255573,0.315,3110133,0.713
1100,0.2,0.4,4,4,1.0,0.05,2.0,10824071,0.218,10751850,0.219,2906198,0.635
1100,0.2,0.4,4,4,1.0,0.05,2.0,7056541,0.296,7067640,0.295,2805671,0.647
1100,0.2,0.4,4,4,1.0,0.05,2.0,8698778,0.326,9712286,0.292,5972148,0.512
1100,0.2,0.4,4,4,1.0,0.05,2.0,10460730,0.217,9562837,0.238,3345072,0.532
1100,0.2,0.4,4,4,1.0,0.05,2.0,6257135,0.304,6666368,0.285,2201738,0.758
1100,0.2,0.4,4,4,1.0,0.10,0.1,9166913,0.219,9185224,0.218,4524478,0.597
1100,0.2,0.4,4,4,1.0,0.10,0.1,8222573,0.230,8919191,0.212,3777595,0.595
1100,0.2,0.4,4,4,1.0,0.10,0.1,9910744,0.285,9728826,0.290,0,0.000
1100,0.2,0.4,4,4,1.0,0.10,0.1,10508312,0.185,10296190,0.189,4192478,0.499
1100,0.2,0.4,4,4,1.0,0.10,0.1,7828927,0.332,8112572,0.320,3942792,0.711
1100,0.2,0.4,4,4,1.0,0.10,0.1,10069620,0.234,10203293,0.231,4904492,0.646
1100,0.2,0.4,4,4,1.0,0.10,0.1,6164191,0.338,6083335,0.343,4287215,0.632
1100,0.2,0.4,4,4,1.0,0.10,0.1,11370734,0.249,11703499,0.242,7759494,0.512
1100,0.2,0.4,4,4,1.0,0.10,0.1,9216561,0.247,9094585,0.250,5705495,0.505
1100,0.2,0.4,4,4,1.0,0.10,0.1,5597711,0.340,5842868,0.326,3246000,0.743
1100,0.2,0.4,4,4,1.0,0.10,0.5,9074121,0.221,9172659,0.218,3927926,0.605
1100,0.2,0.4,4,4,1.0,0.10,0.5,9495957,0.199,10260466,0.185,3323513,0.581
