podCount,alpha,density,replicaCount,nodeCount,CCR,RRC,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
900,0.2,0.4,4,4,0.5,0.50,2.0,7408955,0.197,6819583,0.214,2240670,0.623
900,0.2,0.4,4,4,0.5,0.50,2.0,6956242,0.318,7357609,0.300,8467019,0.463
900,0.2,0.4,4,4,0.5,0.50,2.0,4248964,0.330,4941525,0.284,2356036,0.657
900,0.2,0.4,4,4,0.5,0.50,2.0,5153920,0.328,5532727,0.306,2974656,0.624
900,0.2,0.4,4,4,0.5,0.50,2.0,7829136,0.178,7339026,0.190,2178173,0.723
900,0.2,0.4,4,4,0.5,0.50,2.0,3781900,0.304,4237011,0.272,2071537,0.640
900,0.2,0.4,4,4,0.5,0.50,2.0,6003439,0.441,5767305,0.459,5932907,0.743
900,0.2,0.4,4,4,0.5,0.50,2.0,4237597,0.400,4422987,0.384,3111054,0.681
900,0.2,0.4,4,4,0.5,0.50,2.0,6843122,0.233,6543879,0.243,2901246,0.650
900,0.2,0.4,4,4,1.0,0.01,0.1,3671602,0.328,3711538,0.324,2407718,0.666
900,0.2,0.4,4,4,1.0,0.01,0.1,6293088,0.232,7018738,0.208,2725397,0.674
900,0.2,0.4,4,4,1.0,0.01,0.1,7740132,0.286,7769546,0.285,7076909,0.469
900,0.2,0.4,4,4,1.0,0.01,0.1,5527995,0.254,6039887,0.232,2482056,0.645
900,0.2,0.4,4,4,1.0,0.01,0.1,5124532,0.330,5203507,0.325,3679688,0.601
900,0.2,0.4,4,4,1.0,0.01,0.1,5459396,0.255,4685671,0.297,2424765,0.710
900,0.2,0.4,4,4,1.0,0.01,0.1,3598997,0.320,3683923,0.312,2261329,0.629
900,0.2,0.4,4,4,1.0,0.01,0.1,5359766,0.494,5361090,0.494,5448619,0.737
900,0.2,0.4,4,4,1.0,0.01,0.1,4371948,0.388,4407827,0.385,3226088,0.713
900,0.2,0.4,4,4,1.0,0.01,0.1,6252017,0.255,6444255,0.247,3275816,0.631
900,0.2,0.4,4,4,1.0,0.01,0.5,3273379,0.368,3297665,0.365,2203465,0.674
900,0.2,0.4,4,4,1.0,0.01,0.5,7734202,0.189,8021895,0.182,2642479,0.638
900,0.2,0.4,4,4,1.0,0.01,0.5,8248024,0.268,7692924,0.287,7771261,0.449
900,0.2,0.4,4,4,1.0,0.01,0.5,5073947,0.276,5587961,0.251,2315077,0.646
