node count,replica count,result
8,235,57880.9
8,623,205520.4
8,454,435724.4
8,476,347692.7
8,687,577259.4
8,796,638724.6
8,229,38134.2
8,292,107110.1
8,329,90209.3
8,375,222470.0
8,672,542008.2
8,260,176861.8
8,471,257286.8
8,463,526527.2
8,155,27733.9
8,365,398784.7
8,529,181477.2
8,99,46257.5
8,156,105648.8
8,668,611831.1
8,1321,1095842.3
8,62,16742.7
8,897,706889.5
8,161,75623.2
8,137,29295.1
8,108,26514.2
8,340,77241.4
8,47,15570.6
8,389,325203.8
8,152,55183.9
8,1409,1833316.8
8,1073,566416.4
8,270,139873.7
8,468,373909.0
8,276,83908.9
8,258,104756.3
8,81,29169.1
8,1379,1200305.4
8,1376,2153713.5
8,1381,664229.2
8,115,41556.6
8,74,16018.5
8,166,33695.5
8,694,378933.9
8,143,129356.2
8,200,68388.7
8,65,50750.4
8,829,1004474.7
8,736,370523.9
8,1539,1634358.1
8,177,82199.9
8,136,64983.1
8,339,101782.4
8,257,70819.5
8,460,471278.1
8,368,162575.0
8,330,157952.3
8,238,89441.0
8,174,38988.4
8,150,41846.2
8,293,187126.5
8,210,128568.9
8,152,96827.9
8,574,253481.9
8,318,222968.4
8,150,122255.4
8,367,277945.9
8,136,53557.2
8,188,103689.8
8,296,187664.4
8,333,99686.5
8,256,109478.1
8,295,211641.8
8,482,319723.7
8,342,112980.5
8,541,610358.0
8,107,16604.9
8,795,488543.6
8,318,169566.4
8,631,231925.0
8,239,85656.2
8,809,705438.0
8,1031,751923.0
8,679,325868.2
8,544,288821.7
8,214,55467.5
8,1183,816658.8
8,99,34262.1
8,248,127363.3
8,757,552475.5
8,113,41849.4
8,311,131856.3
8,425,200297.2
8,438,269258.0
8,381,426091.3
8,296,92531.5
8,133,34037.9
8,920,352943.9
8,105,18098.8
8,387,349795.4
